
Barguna,,3
Barishal,,2
Brahamanbaria,,6
Chandpur,,6
Chittagong,,18
Chuadanga,,1
Comilla,,9
Cox's Bazar,,1
Dhaka,,407
Gaibandha,,6
Gazipur,,35
Gopalganj,,3
Hobiganj,,1
Jamalpur,,6
Jhalokathi,,3
Kishoreganj,,10
Laksmipur,,1
Lalmonirhat,,1
Madaripur,,19
Manikganj,,5
Moulovi Bazar,,1
Munshigonj,,17
Mymensingh,,5
Narayanganj,,144
Narshingdi,,20
Netrokona,,1
Nilphamari,,3
Potuakhali,,2
Rajbari,,6
Rajshahi,,2
Rangpur,,2
Shariatpur,,1
Sherpur,,2
Sunamganj,,1
Sylhet,,1
Tangail,,7
Thakurgaon,,3
date,,13.04.2020
