date,,14.4.2020
Dhaka,ঢাকা,484
Narayanganj,নারায়ণগঞ্জ,164
Gazipur,গাজীপুর,53
Narsingdi,নরসিংদী,28
Munshiganj,মুন্সিগঞ্জ,21
Chittagong,চট্টগ্রাম,20
Madaripur,মাদারীপুর,19
Kishoreganj,কিশোরগঞ্জ,17
Comilla,কুমিল্লা,14
Jamalpur,জামালপুর,9
Gopalganj,গোপালগঞ্জ,9
Brahmanbaria,ব্রাহ্মণবাড়িয়া,8
Gaibandha,গাইবান্ধা,8
Mymensingh,ময়মনসিংহ,7
Tangail,টাঙ্গাইল,7
Barisal,বরিশাল,7
Rajbari,রাজবাড়ী,6
Chandpur,চাঁদপুর,6
Shariatpur,শরীয়তপুর,5
Manikganj,মানিকগঞ্জ,5
Nilphamari,নীলফামারী,4
Jhalakathi,ঝালকাঠি,3
Sherpur,শেরপুর,3
Rajshahi,রাজশাহী,3
Thakurgaon,ঠাকুরগাঁও,3
Barguna,বরগুনা,3
Habiganj,হবিগঞ্জ,2
Faridpur,ফরিদপুর,2
Netrokona,নেত্রকোণা,2
Patuakhali,পটুয়াখালী,2
