date,,15.4.2020
Dhaka,,546
Narayanganj,,214
Gazipur,,53
Chittagong,,31
Narsingdi,,28
Munshiganj,,21
Madaripur,,19
Kishoreganj,,17
Comilla,,14
Jamalpur,,12
Gaibandha,,12
Barisal,,10
Tangail,,9
Gopalganj,,9
Brahamanbaria,,8
Mymensingh,,7
Dinajpur,,7
Chandpur,,6
Rajbari,,6
Nilphamari,,6
Shariatpur,,5
Manikganj,,5
Pirojpur,,4
Netrakona,,4
Rajshahi,,4
Barguna,,4
Sherpur,,3
Jhalokati,,3
Thakurgaon,,3
Maulvibazar,,2
Rangpur,,2
Lalmonirhat,,2
Kurigram,,2
Patuakhali,,2
Faridpur,,2
Sunamganj,,1
Sylhet,,1
Habiganj,,1
Noakhali,,1
Cox's Bazar,,1
Narail,,1
Lakshmipur,,1
Khulna,,1
Chuadanga,,1
