date,,1.5.2020
Dhaka,,4082
Narayanganj,,966
Gazipur,,322
Kishoreganj,,201
Narsingdi,,151
Mymensingh,,145
Munshiganj,,112
Comilla,,99
Chittagong,,75
Jamalpur,,66
Jessore,,63
Habiganj,,55
Gopalganj,,45
Brahamanbaria,,43
Lakshmipur,,41
Barisal,,40
Madaripur,,39
Rangpur,,38
Cox's Bazar,,37
Joypurhat,,33
Barguna,,33
Netrakona,,32
Shariatpur,,30
Tangail,,29
Sunamganj,,29
Patuakhali,,28
Sherpur,,26
Manikganj,,22
Dinajpur,,21
Gaibandha,,21
Rajshahi,,20
Jhenaidah,,19
Bogra,,19
Rajbari,,19
Sylhet,,18
Thakurgaon,,17
Kushtia,,16
Chandpur,,15
Naogaon,,15
Nilphamari,,15
Faridpur,,13
Narail,,13
Khulna,,13
Maulvibazar,,12
Pabna,,10
Chuadanga,,9
Natore,,9
Noakhali,,9
Pirojpur,,9
Jhalokati,,8
Kurigram,,8
Panchagarh,,8
Magura,,8
Bandarban,,7
Feni,,6
Bhola,,5
Lalmonirhat,,3
Sirajganj,,3
Bagerhat,,2
Satkhira,,2
Khagrachari,,2
Nawabganj,,2
Meherpur,,2
