Number of area,135Total confirmed,3569Abdullahpur,3
Aftabnagar,1
Adabor,25
Agargaon,57
Aminbazar,2
Amlapara,2
Arambagh,8
Armanitola,3
Asad Gate,1
Ashulia,2
Ashkona,1
Azimpur,32
Babu Bazar,115
Badda,90
Baily Road,13
Bakshibazar,7
Baridhara,14
Banasree,20
Banani,48
Banglamotor,6
Bangshal,82
Banianagar,1
Basabo,58
Bijoynagar,1
Bashundhora,21
Begunbari,4
Begum Bazar,1
Beribadh,1
Bokshi Bazar,5
Bosila,1
Buet Area,1
Cantonment,14
Central Road,2
Chankharpool,37
Chawk Bazar,70
Dania,11
Dakshinkhan,1
Dhakkeshori,1
Demra,20
Dhanmondi,94
Dhalpur,18
Dholaipar,6
Dholaikhal,2
Doyaganj,3
Elephant Road,15
Faridabagh,1
Fakirapool,3
Fulbaria,14
Forashganj,2
Farmgate,38
Gendaria,73
Golartek,1
Goran,14
Golapbagh,10
Gonoktuli,4
Gopibag,29
Green Road,37
Gulistan,11
Gulshan,63
Hatir jhil,6
Hajipara,3
Hatirpool,16
Hazaribagh,57
Ibrahimpur,6
Islambagh,3
Islampur,6
Jailgate,2
Jatrabari,221
Jigatala,11
Jurain,43
Kafrul,8
Kallyanpur,26
Kalabagan,23
Kakrail,176
Kathalbagan,9
Kamalapur,15
kajla,3
Kamrangir Char,42
Kazi para,11
Kawran Bazar,15
Koratitola,1
Kosaituli,1
Kochukhet,3
Khilgaon,80
Khilkhet,5
Koltabazar,1
Kodomtoli,10
Kotowali,27
Kutubkhali,6
Kuril,4
Lalbagh,117
Laxmibazar,19
Madartek,7
Malitola,4
Malibagh,93
Matikata,4
Manda,30
Maniknagar,33
Manikdi,1
Matuail,8
Meradia,8
Mintu Road,5
Mirhajaribagh,5
Mirpur-1,48
Mirpur-2,11
Mirpur-6,12
Mirpur-10,24
Mirpur-11,48
Mirpur-12,23
Mirpur-13,8
Mirpur-14,41
Mitford,38
Mogbazar,98
Monipur,1
Mohakhali,223
Mohonpur,1
Mohammadpur,189
Motijeel,11
Mugda,189
Nawabpur,4
Nazirabazar,10
Narinda,27
New market,14
Niketon,5
Nilkhet,4
Nakhalpara,28
Nayabazar,10
Neemtoli,9
Nikunja,2
Panthapath,23
Pallabi,20
Paikpara,4
Paltan,34
Pirerbagh,9
Postogola,7
