Dhaka,,14692
Narayanganj,,1837
Chittagong,,1789
Munshiganj,,601
Gazipur,,591
Comilla,,567
Cox's Bazar,,410
Mymensingh,,399
Rangpur,,380
Noakhali,,378
Kishoreganj,,231
Sylhet,,213
Netrakona,,206
Bogura,,196
Jamalpur,,193
Narsingdi,,175
Habiganj,,161
Gopalganj,,143
Jessore,,141
Faridpur,,135
Joypurhat,,135
Manikganj,,130
Dinajpur,,112
Chandpur,,104
Lakshmipur,,104
Naogaon,,102
Madaripur,,102
Brahamanbaria,,100
Maulvibazar,,94
Feni,,93
Chuadanga,,87
Shariatpur,,84
Sunamganj,,84
Nilphamari,,82
Sherpur,,81
Barisal,,68
Rajbari,,65
Kurigram,,64
Rangamati,,62
Thakurgaon,,59
Khulna,,56
Rajshahi,,53
Tangail,,51
Natore,,50
Jhenaidah,,48
Nawabganj,,46
Barguna,,44
Panchagarh,,40
Kushtia,,39
Pabna,,37
Satkhira,,37
Patuakhali,,36
Gaibandha,,35
Lalmonirhat,,31
Jhalokati,,26
Khagrachhari,,26
Narail,,25
Magura,,23
Pirojpur,,22
Bandarban,,22
Bagerhat,,17
Sirajganj,,15
Bhola,,14
Meherpur,,12
