date,,30.4.2020
Dhaka,,3850
Narayanganj,,923
Gazipur,,322
Kishoreganj,,200
Narsingdi,,145
Mymensingh,,143
Munshiganj,,110
Comilla,,93
Chittagong,,74
Jessore,,63
Jamalpur,,61
Habiganj,,53
Gopalganj,,45
Brahamanbaria,,40
Barisal,,40
Madaripur,,39
Lakshmipur,,35
Joypurhat,,32
Rangpur,,31
Shariatpur,,30
Barguna,,30
Tangail,,29
Netrakona,,29
Sunamganj,,28
Patuakhali,,27
Sherpur,,25
Cox's Bazar,,23
Gaibandha,,21
Manikganj,,21
Dinajpur,,20
Rajshahi,,19
Jhenaidah,,19
Bogra,,19
Sylhet,,18
Rajbari,,17
Thakurgaon,,16
Naogaon,,15
Kushtia,,15
Chandpur,,14
Narail,,13
Nilphamari,,13
Maulvibazar,,12
Faridpur,,12
Khulna,,11
Pabna,,10
Chuadanga,,9
Natore,,9
Pirojpur,,9
Jhalokati,,8
Panchagarh,,8
Kurigram,,7
Magura,,7
Noakhali,,6
Feni,,6
Bhola,,5
Bandarban,,4
Lalmonirhat,,3
Sirajganj,,3
Bagerhat,,2
Nawabganj,,2
Meherpur,,2
Satkhira,,1
Khagrachari,,1
