date,,5.5.2020
Dhaka,,5357
Narayanganj,,1055
Gazipur,,259
Kishoreganj,,202
Mymensingh,,169
Narsingdi,,166
Munshiganj,,161
Comilla,,112
Chittagong,,105
Rangpur,,75
Jessore,,74
Jamalpur,,74
Habiganj,,69
Brahamanbaria,,56
Netrakona,,52
Madaripur,,48
Lakshmipur,,45
Shariatpur,,44
Gopalganj,,44
Barisal,,41
Cox's Bazar,,39
Sunamganj,,35
Joypurhat,,34
Barguna,,33
Tangail,,30
Patuakhali,,28
Chandpur,,27
Jhenaidah,,27
Sherpur,,26
Rajshahi,,25
Nilphamari,,25
Sylhet,,24
Manikganj,,24
Gaibandha,,24
Kurigram,,22
Rajbari,,22
Noakhali,,21
Dinajpur,,21
Maulvibazar,,21
Thakurgaon,,19
Bogra,,18
Naogaon,,17
Khulna,,17
Kushtia,,16
Faridpur,,15
Pabna,,15
Narail,,13
Natore,,10
Jhalokati,,10
Chuadanga,,10
Panchagarh,,8
Magura,,7
Feni,,6
Bhola,,5
Bandarban,,4
Sirajganj,,4
Lalmonirhat,,4
Satkhira,,3
Meherpur,,3
Bagerhat,,2
Nawabganj,,2
Khagrachari,,2
Pirojpur,,0
