Number of area: 201
Total confirmed: 5809
Abdullahpur,আব্দুল্লাহপুর,3
Aftabnagar,আফতাবনগর,1
Adabor,আদাবর,27
Agargaon,আগারগাঁও,78
Aminbazar,আমিনবাজার,2
Amlapara,আমলাপাড়া,2
Arambagh,আরামবাগ,8
Armanitola,আরমানিটোলা,4
Asad Gate,আসাদগেট,1
Ashulia,আশুলিয়া,2
Ashkona,আশকোনা,1
Azimpur,আজিমপুর,38
Babu Bazar,বাবু বাজার,117
Badda,বাড্ডা,97
Baily Road,বেইলি রোড,15
Bakshibazar,বকশিবাজার,8
Baridhara,বারিধারা,14
Banasree,বনশ্রী,20
Banani,বনানী,58
Banglamotor,বাংলামটর,6
Bangshal,বংশাল,84
Banianagar,বানিয়ানগর,1
Basabo,বাসাবো,65
Bijoynagar,বিজয়নগর,1
Bashundhora,বসুন্ধরা,28
Begunbari,বেগুনবাড়ি,4
Begum Bazar,বেগম বাজার,1
Beribadh,বেড়িবাঁধ,1
Bokshi Bazar,বকশি বাজার,5
Bosila,বসিলা,1
Buet Area,বুয়েট এলাকা,1
Cantonment,ঢাকা সেনানিবাস,14
Central Road,সেন্ট্রাল রোড,2
Chankharpool,চাঁনখারপুল,37
Chawk Bazar,চক বাজার,70
Dania,দনিয়া,12
Dakshinkhan,দক্ষিণখান,1
Dhakkeshori,ঢাকেশ্বরী,1
Demra,ডেমরা,25
Dhanmondi,ধানমন্ডি,106
Dhalpur,ধলপুর,18
Dholaipar,ধোলাইপাড়,6
Dholaikhal,ধোলাইখাল,2
Doyaganj,দয়াগঞ্জ,3
Elephant Road,এলিফ্যান্ট রোড,20
Eskaton,ইস্কাটন,43
Faridabagh,ফরিদাবাদ,1
Fakirapool,ফকিরাপুল,3
Fulbaria,ফুলবাড়িয়া,16
Forashganj,ফরাশগঞ্জ,2
Farmgate,ফার্মগেট,38
Gendaria,গেন্ডারিয়া,77
Gabtoli,গাবতলী,2
Golartek,গোলারটেক,1
Goran,গোরান,14
Golapbagh,গোলাপবাগ,10
Gonoktuli,গণকটুলি,4
Gopibag,গোপীবাগ,31
Green Road,গ্রীন রোড,40
Gulistan,গুলিস্তান,11
Gulshan,গুলশান,68
Hatir jhil,হাতিরঝিল,6
Hajipara,হাজীপাড়া,3
Hatirpool,হাতিরপুল,17
Hazaribagh,হাজারীবাগ,65
Ibrahimpur,ইব্রাহীমপুর,9
Indira Road,ইন্দিরা রোড,5
Islambagh,ইসলাামবাগ,3
Islampur,ইসলামপুর,7
Jailgate,জেলগেট,2
Jatrabari,যাত্রাবাড়ী,242
Jinjira,জিঞ্জিরা,1
Jigatala,জিগাতলা,12
Jurain,জুরাইন,46
Kafrul,কাফরুল,9
Kallyanpur,কল্যাণপুর,29
Kalabagan,কলাবাগান,29
Kakrail,কাকরাইল,298
Kathalbagan,কাঁঠালবাগান,11
Kamalapur,কমলাপুর,15
kajla,কাজলা,3
Kamrangir Char,কামরাঙ্গীর চর,43
Kazi para,কাজীপাড়া,11
Kawran Bazar,কাওরান বাজার,15
Koratitola,করাতিটোলা,1
Kosaituli,কসাইটুলী,1
Kochukhet,কচুক্ষেত,4
Khilgaon,খিলগাঁও,86
Khilkhet,খিলক্ষেত,5
Koltabazar,কলতাবাজার,1
Kodomtoli,কদমতলি,10
Kotowali,কোতোয়ালী,27
Kutubkhali,কুতুবখালি,6
Kuril,কুড়িল,4
Lalmatia,লালমাটিয়া,31
Lalbagh,লালবাগ,122
Laxmibazar,লক্ষ্মীবাজার,19
Madartek,মাদারটেক,7
Malitola,মালিটোলা,4
Malibagh,মালিবাগ,114
Matikata,মাটিকাটা,5
Manda,মানডা,31
Maniknagar,মানিকনগর,35
Manikdi,মানিকদি,1
Matuail,মাতুয়াইল,8
Merul,মেরুল,1
Meradia,মেরাদিয়া,8
Mintu Road,মিন্টু রোড,5
Mirhajaribagh,মীরহাজারিবাগ,5
Mirpur,মিরপুর,83
Mirpur-1,মিরপুর-১,58
Mirpur-2,মিরপুর-২,14
Mirpur-6,মিরপুর-৬,13
Mirpur-10,মিরপুর-১০,24
Mirpur-11,মিরপুর-১১,49
Mirpur-12,মিরপুর-১২,36
Mirpur-13,মিরপুর-১৩,9
Mirpur-14,মিরপুর-১৪,42
Mitford,মিটফোর্ড,38
Mogbazar,মগবাজার,125
Monipur,মনিপুর,1
Mohakhali,মহাখালী,235
Mohonpur,মোহনপুর,1
Mohammadpur,মোহাম্মাদপুর,213
Motijeel,মতিঝিল,14
Mugda,মুগদা,198
Nawabpur,নবাবপুর,4
Nazirabazar,নাজিরাবাজার,10
Narinda,নারিন্দা,32
New market,নিউমার্কেট,14
Niketon,নিকেতন,5
Nilkhet,নীলক্ষেত,4
Nakhalpara,নাখালপাড়া,30
Nayabazar,নয়াবাজার,26
Neemtoli,নিমতলী,9
Nikunja,নিকুঞ্জ,2
Panthapath,পান্থপথ,26
Pallabi,পল্লবী,21
Paikpara,পাইকপাড়া,4
Paltan,পল্টন,36
Pirerbagh,পীরেরবাগ,9
Postogola,পোস্তগোলা,8
Purana Paltan,পুরাণা পল্টন,27
Rajarbagh,রাজারবাগ,206
Rampura,রামপুরা,60
Ramna,রমনা,50
Rasulbagh,রসুলবাগ,4
Rayerbagh,রায়েরবাগ,13
Raja Bazar,রাজা বাজার,21
Rosulpur,রসুলপুর,4
Rupganj,রূপগঞ্জ,1
Rayerbazar,রায়েরবাজার,16
Sabujbagh,সবুজবাগ,13
Sadarghat,সদরঘাট,5
Sahjanpur,শাহজাহানপুর,28
Sayedabad,সায়েদাবাদ,15
Segunbagicha,সেগুনবাগিচা,10
Science Lab,সায়েন্স ল্যাব,1
Shah Ali Bagh,শাহ আলী বাগ,2
Shahbag,শাহবাগ,73
Shakharibazar,শাখাঁরীবাজার,32
Shantibagh,শান্তিবাগ,27
Shampur,শ্যামপুর,11
Shantinagar,শান্তিনগর,38
Shaymoli,শ্যামলী,70
Shewrapara,শেওড়াপাড়া,9
Shekher Tek,শেখের টেক,1
Showari Ghat,সওয়ারী ঘাট,3
Sipahibag,সিপাহীবাগ,4
Siddheshwari,সিদ্ধেশ্বরী,14
Sonir akhra,শনির আখড়া,19
Swamibagh,স্বামীবাগ,50
Sher-E-Bangla,শের-ই-বাংলা নগর,27
Sutrapur,সূত্রাপুর,39
Tallabagh,তল্লাবাগ,4
Taltola,তালতলা,3
TatiBazar,তাতীঁবাজার,14
Tikatoli,টিকাটুলি,25
Tejkunipara,তেজকুনিপাড়া,3
Tejgaon,তেজগাঁও,150
Turag,তুরাগ,2
Tezturi Bazar,তেজতুরী বাজার,5
Tongi,টঙ্গী,14
Tolarbag,টোলারবাগ,19
Urdu Road,উর্দু রোড,1
Uttara,উত্তরা,111
Vatara,ভাটারা,10
Vasantek,ভাসানটেক,3
Wari,ওয়ারী,71
Tallabagh,তল্লাবাগ,4
Taltola,তালতলা,3
TatiBazar,তাতীঁবাজার,14
Tejkunipara,তেজকুনিপাড়া,3
Tejgaon,তেজগাঁও,150
Turag,তুরাগ,2
Tongi,টঙ্গী,14
Tolarbag,টোলারবাগ,19
Urdu Road,উর্দু রোড,1
Vatara,ভাটারা,10
Vasantek,ভাসানটেক,3
Wari,ওয়ারী,71
