Dhaka,,12386
Narayanganj,,1582
Chittagong,,1100
Gazipur,,539
Munshiganj,,400
Comilla,,400
Mymensingh,,351
Rangpur,,325
Cox's Bazar,,232
Kishoreganj,,209
Noakhali,,199
Narsingdi,,175
Jamalpur,,152
Netrakona,,120
Gopalganj,,118
Jessore,,116
Habiganj,,112
Faridpur,,106
Lakshmipur,,104
Joypurhat,,97
Feni,,90
Chuadanga,,89
Chandpur,,86
Shariatpur,,74
Dinajpur,,73
Madaripur,,71
Brahamanbaria,,67
Sherpur,,66
Bogra,,63
Barisal,,61
Manikganj,,58
Kurigram,,58
Nilphamari,,53
Naogaon,,53
Sunamganj,,52
Sylhet,,48
Jhenaidah,,46
Rangamati,,44
Natore,,44
Tangail,,43
Nawabganj,,41
Maulvibazar,,39
Rajshahi,,38
Barguna,,37
Khulna,,37
Kushtia,,36
Rajbari,,33
Thakurgaon,,32
Satkhira,,30
Patuakhali,,29
Pabna,,28
Gaibandha,,26
Lalmonirhat,,26
Magura,,23
Panchagarh,,20
Narail,,19
Jhalokati,,16
Bhola,,13
Bagerhat,,11
Khagrachhari,,9
Sirajganj,,9
Bandarban,,8
Pirojpur,,7
Meherpur,,5
