Narayanganj,,1599
Chittagong,,1248
Gazipur,,542
Comilla,,420
Munshiganj,,400
Mymensingh,,358
Rangpur,,354
Coxsbazar,,259
Kishoreganj,,211
Noakhali,,207
Narsingdi,,175
Netrakona,,164
Jamalpur,,157
Gopalganj,,129
Jessore,,116
Faridpur,,114
Habiganj,,112
Lakshmipur,,104
Joypurhat,,97
Feni,,91
Chandpur,,89
Chuadanga,,89
Shariatpur,,81
Dinajpur,,78
Madaripur,,71
Brahamanbaria,,68
Sherpur,,66
Manikganj,,63
Barisal,,63
Bogra,,63
Nilphamari,,60
Kurigram,,58
Naogaon,,54
Sunamganj,,52
Natore,,49
Sylhet,,48
Jhenaidah,,47
Rajshahi,,47
Rangamati,,44
Nawabganj,,44
Tangail,,43
Maulvibazar,,40
Khulna,,39
Kushtia,,37
Barguna,,37
Rajbari,,36
Thakurgaon,,35
Satkhira,,32
Patuakhali,,30
Pabna,,29
Gaibandha,,26
Lalmonirhat,,26
Panchagarh,,24
Magura,,23
Narail,,20
Khagrachhari,,16
Jhalokati,,16
Bagerhat,,13
Bhola,,13
Bandarban,,9
Sirajganj,,9
Pirojpur,,7
Dhaka,,13058
Meherpur,,5
