Antarctica,ATA,এন্টার্কটিকা
French Southern and Antarctic Lands,ATF,দক্ষিণ এন্টার্কটিকা
Burundi,BDI,বুরুন্ডি
Belize,BLZ,বেলিজ
Bermuda,BMU,বারমুডা
Botswana,BWA,বতসোয়ানা
Ivory Coast,CIV,আইভরি কোস্ট
Democratic Republic of the Congo,COD,গণপ্রজাতন্ত্রী কঙ্গো
Northern Cyprus,TRNC,উত্তর সাইপ্রাস
Czech Republic,CZE,চেক রিপাবলিক
Falkland Islands,FLK,ফকল্যান্ড
Gambia,GMB,গাম্বিয়া
Guinea Bissau,GNB,গিনি বিসাউ
South Korea,KOR,দক্ষিণ কোরিয়া
Laos,LAO,লাওস
Libya,LBY,লিবিয়া
Lesotho,LSO,লেসোথো
Macedonia,MKD,মেসিডোনিয়া
Mali,MLI,মালি
Myanmar,MMR,মিয়ানমার
Malawi,MWI,মালাবি
New Caledonia,NCL,নিউ ক্যালেডোনিয়া
North Korea,PRK,উত্তর কোরিয়া
Western Sahara,ESH,পশ্চিম সাহারা
South Sudan,SDS,দক্ষিণ সুদান
Solomon Islands,SLB,সলোমন দ্বীপপুঞ্জ
Sierra Leone,SLE,সিয়েরা লিওন
Somaliland,SOL,সোমালিল্যান্ড
Republic of Serbia,SRB,সার্বিয়া
Swaziland,SWZ,সোয়াজিল্যান্ড
Tajikistan,TJK,তাজিকিস্তান
Turkmenistan,TKM,তুর্কমেনিস্তান
Taiwan,TWN,তাইওয়ান
United Republic of Tanzania,TZA,তানজানিয়া
United States of America,USA,যুক্তরাষ্ট্র
Vanuatu,VUT,ভানুতু
West Bank,PSE,পশ্চিম তীর
Yemen,YEM,ইয়েমেন
Global,nan,
