Thailand,THA,থাইল্যান্ড,nan,15.0,101.0
Japan,JPN,জাপান,nan,36.0,138.0
Nepal,NPL,নেপাল,nan,28.1667,84.25
Malaysia,MYS,মালয়েশিয়া,nan,2.5,112.5
Canada,CAN,কানাডা,British Columbia,49.2827,-123.1207
Australia,AUS,অস্ট্রেলিয়া,New South Wales,-33.8688,151.2093
Australia,AUS,অস্ট্রেলিয়া,Victoria,-37.8136,144.9631
Australia,AUS,অস্ট্রেলিয়া,Queensland,-28.0167,153.4
Cambodia,KHM,কম্বোডিয়া,nan,11.55,104.9167
Sri Lanka,LKA,শ্রীলঙ্কা,nan,7.0,81.0
Germany,DEU,জার্মানি,nan,51.0,9.0
Finland,FIN,ফিনল্যান্ড,nan,64.0,26.0
United Arab Emirates,ARE,সংযুক্ত আরব আমিরাত,nan,24.0,54.0
Philippines,PHL,ফিলিপাইন,nan,13.0,122.0
India,IND,ভারত,nan,21.0,78.0
Italy,ITA,ইটালি,nan,43.0,12.0
Sweden,SWE,সুইডেন,nan,63.0,16.0
Spain,ESP,স্পেন,nan,40.0,-4.0
Australia,AUS,অস্ট্রেলিয়া,South Australia,-34.9285,138.6007
Belgium,BEL,বেলজিয়াম,nan,50.8333,4.0
Egypt,EGY,মিশর,nan,26.0,30.0
Australia,AUS,অস্ট্রেলিয়া,From Diamond Princess,35.4437,139.638
Lebanon,LBN,লেবানন,nan,33.8547,35.8623
Iraq,IRQ,ইরাক,nan,33.0,44.0
Oman,OMN,ওমান,nan,21.0,57.0
Afghanistan,AFG,আফগানিস্থান,nan,33.0,65.0
Kuwait,KWT,কুয়েত,nan,29.5,47.75
Algeria,DZA,আলজেরিয়া,nan,28.0339,1.6596
Croatia,HRV,ক্রোয়েশিয়া,nan,45.1,15.2
Switzerland,CHE,সুইজারল্যান্ড,nan,46.8182,8.2275
Austria,AUT,অস্ট্রিয়া,nan,47.5162,14.5501
Israel,ISR,ইসরায়েল,nan,31.0,35.0
Pakistan,PAK,পাকিস্তান,nan,30.3753,69.3451
Brazil,BRA,ব্রাজিল,nan,-14.235,-51.9253
Georgia,GEO,জর্জিয়া,nan,42.3154,43.3569
Greece,GRC,গ্রীস,nan,39.0742,21.8243
Norway,NOR,নরওয়ে,nan,60.472,8.4689
Romania,ROU,রোমানিয়া,nan,45.9432,24.9668
Estonia,EST,এস্তোনিয়া,nan,58.5953,25.0136
Belarus,BLR,বেলারুশ,nan,53.7098,27.9534
Iceland,ISL,আইসল্যান্ড,nan,64.9631,-19.0208
Lithuania,LTU,লিথুয়ানিয়া,nan,55.1694,23.8813
Mexico,MEX,মেক্সিকো,nan,23.6345,-102.5528
New Zealand,NZL,নিউজিল্যান্ড,nan,-40.9006,174.886
Nigeria,NGA,নাইজেরিয়া,nan,9.082,8.6753
Australia,AUS,অস্ট্রেলিয়া,Western Australia,-31.9505,115.8605
Ireland,IRL,আয়ারল্যান্ড,nan,53.1424,-7.6921
Luxembourg,LUX,লুক্সেমবার্গ,nan,49.8153,6.1296
Qatar,QAT,কাতার,nan,25.3548,51.1839
Ecuador,ECU,ইকুয়েডর,nan,-1.8312,-78.1834
Azerbaijan,AZE,আজারবাইজান,nan,40.1431,47.5769
Armenia,ARM,আরমেনিয়া,nan,40.0691,45.0382
Dominican Republic,DOM,ডমিনিকান রিপাবলিক,nan,18.7357,-70.1627
Indonesia,IDN,ইন্দোনেশিয়া,nan,-0.7893,113.9213
Portugal,PRT,পর্তুগাল,nan,39.3999,-8.2245
Australia,AUS,অস্ট্রেলিয়া,Tasmania,-41.4545,145.9707
Latvia,LVA,লাটভিয়া,nan,56.8796,24.6032
Morocco,MAR,মরোক্কো,nan,31.7917,-7.0926
Saudi Arabia,SAU,সৌদি আরব,nan,24.0,45.0
Senegal,SEN,সেনেগাল,nan,14.4974,-14.4524
Argentina,ARG,আর্জেন্টিনা,nan,-38.4161,-63.6167
Chile,CHL,চিলি,nan,-35.6751,-71.543
Jordan,JOR,জর্ডান,nan,31.24,36.51
Ukraine,UKR,ইউক্রেন,nan,48.3794,31.1656
Hungary,HUN,হাঙ্গেরি,nan,47.1625,19.5033
Australia,AUS,অস্ট্রেলিয়া,Northern Territory,-12.4634,130.8456
Poland,POL,পোল্যান্ড,nan,51.9194,19.1451
Tunisia,TUN,তিউনিসিয়া,nan,34.0,9.0
Bosnia and Herzegovina,BIH,বসনিয়া এবং হার্জেগোবিনা,nan,43.9159,17.6791
Slovenia,SVN,স্লোভেনিয়া,nan,46.1512,14.9955
South Africa,ZAF,দক্ষিণ আফ্রিকা,nan,-30.5595,22.9375
Bhutan,BTN,ভুটান,nan,27.5142,90.4336
Cameroon,CMR,ক্যামেরুন,nan,3.8480000000000003,11.5021
Colombia,COL,কলম্বিয়া,nan,4.5709,-74.2973
Costa Rica,CRI,কোস্টারিকা,nan,9.7489,-83.7534
Peru,PER,পেরু,nan,-9.19,-75.0152
Slovakia,SVK,শ্লোভাকিয়া,nan,48.669,19.699
Togo,TGO,টোগো,nan,8.6195,0.8248
Bulgaria,BGR,বুলগেরিয়া,nan,42.7339,25.4858
Bangladesh,BGD,বাংলাদেশ,nan,23.685,90.3563
Paraguay,PRY,প্যারাগুয়ে,nan,-23.4425,-58.4438
Canada,CAN,কানাডা,Ontario,51.2538,-85.3232
Canada,CAN,কানাডা,Alberta,53.9333,-116.5765
Canada,CAN,কানাডা,Quebec,52.9399,-73.5491
Albania,ALB,আলবেনিয়া,nan,41.1533,20.1683
Cyprus,CYP,সাইপ্রাস,nan,35.1264,33.4299
Brunei,BRN,ব্রুনেই,nan,4.5353,114.7277
Burkina Faso,BFA,বুরকিনা ফাসো,nan,12.2383,-1.5616
Mongolia,MNG,মঙ্গোলিয়া,nan,46.8625,103.8467
Panama,PAN,পানামা,nan,8.538,-80.7821
China,CHN,চীন,Hubei,30.9756,112.2707
Iran,IRN,ইরান,nan,32.0,53.0
France,FRA,ফ্রান্স,France,46.2276,2.2137
China,CHN,চীন,Guangdong,23.3417,113.4244
China,CHN,চীন,Henan,33.882,113.61399999999999
China,CHN,চীন,Zhejiang,29.1832,120.0934
China,CHN,চীন,Hunan,27.6104,111.7088
China,CHN,চীন,Anhui,31.8257,117.2264
